Name,USD,AUD,CAD,EUR,GBP,HKD,CNY,JPY,RUB,KRW,BRL,PLN,TRY,UAH,ILS,MXN,NZD,SGD,INR,CHF
USD3,299,449,399,349,299,2300,1800,36000,22900,340000,990,1399,999,7900,1190,5900,449,448,25000,300
USD5,499,799,699,549,499,3800,3000,60000,37900,600000,1690,2399,1799,13900,1990,9900,749,698,40000,500
USD10,999,1499,1399,1099,999,7800,6800,120000,74900,1200000,3290,4799,3499,28400,3990,19900,1499,1498,80000,1000
USD20,1999,3099,2799,2199,1999,15800,12800,240000,149000,2400000,6490,9499,6999,55900,7990,37900,2990,2898,160000,2000
USD50,4999,7999,6999,5499,4899,39800,32800,600000,379000,6000000,16990,23999,18499,139900,19990,94900,7499,6898,400000,4800
USD100,9999,15999,13999,10999,9999,78800,64800,1180000,749000,12000000,32990,47999,34999,284900,39990,189900,14999,14898,790000,10000
